description,amount,category
DTH recharge via Debit Card (SBI),11307,Bills
Medical store purchase via Net Banking (SBI),6343,Healthcare
Local market purchase via Net Banking (HDFC),16073,Shopping
Hospital checkup via Credit Card (SBI),11958,Healthcare
Electricity bill via Cash (Paytm),2690,Bills
Mutual fund purchase via Debit Card (GPay),12463,Investment
KFC meal via Net Banking (PhonePe),2277,Food
IMPS transfer via Net Banking (Axis Bank),13269,Transfer
IMPS transfer via UPI (HDFC),6774,Transfer
Restaurant dinner via Credit Card (Paytm),18910,Food
Electronics purchase via Net Banking (Axis Bank),10742,Shopping
Bakery purchase via Net Banking (HDFC),9078,Food
YouTube Premium via Cash (PhonePe),2002,Entertainment
Ola cab via Debit Card (Axis Bank),10604,Travel
Spotify subscription via Debit Card (SBI),16650,Entertainment
Uber ride via Debit Card (Axis Bank),972,Travel
Movie ticket via Credit Card (SBI),7436,Entertainment
Pharmacy bill via UPI (GPay),8101,Healthcare
Cafe coffee via Debit Card (ICICI),9567,Food
Metro ticket via Cash (SBI),3316,Travel
Health insurance premium via Debit Card (ICICI),14113,Healthcare
Online certification via Net Banking (SBI),2241,Education
Online certification via Credit Card (ICICI),17503,Education
Supermarket shopping via Net Banking (Paytm),17906,Shopping
Health insurance premium via Cash (SBI),19131,Healthcare
College fee via Credit Card (GPay),7395,Education
Movie ticket via UPI (Paytm),14616,Entertainment
Hospital checkup via Debit Card (PhonePe),18512,Healthcare
Uber ride via Debit Card (Axis Bank),8646,Travel
IMPS transfer via Credit Card (Paytm),12412,Transfer
Theme park ticket via Credit Card (Axis Bank),10830,Entertainment
Spotify subscription via Credit Card (SBI),16879,Entertainment
Pharmacy bill via UPI (HDFC),7542,Healthcare
KFC meal via Net Banking (GPay),5720,Food
KFC meal via Debit Card (Paytm),6571,Food
Auto fare via Debit Card (HDFC),14942,Travel
RTGS transfer via Credit Card (Axis Bank),1792,Transfer
Electricity bill via Credit Card (Kotak),19570,Bills
KFC meal via UPI (ICICI),11752,Food
Auto fare via UPI (PhonePe),13800,Travel
Bakery purchase via Debit Card (Axis Bank),16733,Food
Amazon shopping via Debit Card (SBI),12489,Shopping
Petrol pump via Credit Card (ICICI),19861,Travel
DTH recharge via Debit Card (Axis Bank),2333,Bills
Mutual fund purchase via Debit Card (Paytm),9262,Investment
Pizza order via Net Banking (Kotak),1543,Food
YouTube Premium via Net Banking (PhonePe),19192,Entertainment
NEFT transfer via Net Banking (GPay),985,Transfer
IMPS transfer via Debit Card (HDFC),9572,Transfer
Water bill via Cash (GPay),18154,Bills
Clothing purchase via Credit Card (Kotak),10217,Shopping
Medical store purchase via Debit Card (ICICI),617,Healthcare
FD investment via Debit Card (SBI),18430,Investment
Theme park ticket via Net Banking (ICICI),17872,Entertainment
Cafe coffee via Credit Card (Kotak),170,Food
Ola cab via Debit Card (Axis Bank),4132,Travel
Coaching class fee via Net Banking (Paytm),13379,Education
Stock investment via Credit Card (Paytm),9697,Investment
UPI transfer via Cash (ICICI),11727,Transfer
Course fee via Net Banking (Kotak),11455,Education
Zomato food delivery via Cash (Paytm),17505,Food
Uber ride via Cash (SBI),8967,Travel
Train ticket via UPI (Kotak),17591,Travel
Train ticket via Credit Card (GPay),1603,Travel
Rapido ride via Cash (GPay),13105,Travel
Bus fare via Credit Card (Kotak),10672,Travel
YouTube Premium via Cash (HDFC),19336,Entertainment
Local market purchase via Net Banking (ICICI),3266,Shopping
Myntra order via Credit Card (GPay),18633,Shopping
Movie ticket via Net Banking (PhonePe),12115,Entertainment
Diesel refill via Net Banking (ICICI),11778,Travel
PPF deposit via Cash (Axis Bank),2587,Investment
DTH recharge via Debit Card (SBI),7734,Bills
UPI transfer via Credit Card (Kotak),4630,Transfer
Mutual fund purchase via Cash (SBI),7384,Investment
Ajio shopping via Debit Card (Axis Bank),14735,Shopping
Local market purchase via UPI (PhonePe),2277,Shopping
Health insurance premium via Net Banking (GPay),6874,Healthcare
Mutual fund purchase via UPI (SBI),18534,Investment
Clothing purchase via UPI (PhonePe),5174,Shopping
Myntra order via Net Banking (Kotak),18156,Shopping
Stock investment via Credit Card (Axis Bank),5715,Investment
Netflix subscription via UPI (ICICI),14620,Entertainment
RTGS transfer via Credit Card (ICICI),11781,Transfer
Bank transfer via Credit Card (GPay),7717,Transfer
Pharmacy bill via Credit Card (PhonePe),11549,Healthcare
Hospital checkup via Debit Card (Kotak),18830,Healthcare
Internet recharge via Credit Card (Paytm),7535,Bills
Book purchase via Debit Card (Paytm),10018,Education
RTGS transfer via Net Banking (Paytm),16878,Transfer
Broadband bill via Cash (GPay),7149,Bills
Swiggy order via Credit Card (HDFC),1175,Food
Hospital checkup via Cash (PhonePe),19109,Healthcare
Pharmacy bill via Credit Card (Kotak),12533,Healthcare
College fee via Credit Card (ICICI),8125,Education
Clothing purchase via UPI (GPay),7427,Shopping
Diagnostic test via UPI (GPay),14703,Healthcare
Bakery purchase via UPI (Paytm),9658,Food
IMPS transfer via Cash (GPay),16281,Transfer
Theme park ticket via Credit Card (ICICI),11419,Entertainment
Flipkart order via Credit Card (Paytm),11669,Shopping
RTGS transfer via Net Banking (ICICI),878,Transfer
Gas bill via Net Banking (HDFC),18512,Bills
Grocery shopping via Credit Card (HDFC),18586,Food
DTH recharge via Credit Card (PhonePe),13852,Bills
Movie ticket via Debit Card (Paytm),17519,Entertainment
Ola cab via Net Banking (HDFC),16455,Travel
Credit card bill via Net Banking (GPay),441,Bills
Course fee via UPI (HDFC),8096,Education
Hospital checkup via Net Banking (SBI),9363,Healthcare
Pharmacy bill via UPI (HDFC),10030,Healthcare
Pizza order via UPI (ICICI),2385,Food
Netflix subscription via UPI (Kotak),5095,Entertainment
Pharmacy bill via Cash (ICICI),1751,Healthcare
RTGS transfer via Debit Card (Paytm),3905,Transfer
Rapido ride via Debit Card (GPay),9177,Travel
SIP investment via Credit Card (ICICI),879,Investment
Health insurance premium via Credit Card (Axis Bank),6254,Healthcare
Game purchase via Net Banking (PhonePe),12476,Entertainment
FD investment via Cash (Axis Bank),16881,Investment
Train ticket via Debit Card (Paytm),6152,Travel
Concert ticket via UPI (Axis Bank),6731,Entertainment
Local market purchase via Debit Card (ICICI),13114,Shopping
Concert ticket via Cash (Paytm),4633,Entertainment
Local market purchase via Net Banking (SBI),7388,Shopping
Crypto purchase via Net Banking (PhonePe),13868,Investment
Doctor visit via Credit Card (Axis Bank),13277,Healthcare
KFC meal via Cash (GPay),15030,Food
Train ticket via Debit Card (GPay),14239,Travel
Auto fare via Credit Card (Paytm),16362,Travel
Water bill via Net Banking (Kotak),14000,Bills
Flipkart order via Net Banking (Paytm),17361,Shopping
Theme park ticket via UPI (HDFC),1769,Entertainment
Book purchase via Debit Card (Paytm),7380,Education
Medical store purchase via Credit Card (Kotak),12957,Healthcare
College fee via Cash (Axis Bank),17390,Education
Mutual fund purchase via UPI (ICICI),2141,Investment
Mobile recharge via Debit Card (Axis Bank),10466,Bills
Credit card bill via Debit Card (ICICI),7377,Bills
IMPS transfer via UPI (Kotak),7467,Transfer
Netflix subscription via Credit Card (GPay),13045,Entertainment
Health insurance premium via Net Banking (ICICI),689,Healthcare
Amazon shopping via Cash (Axis Bank),12283,Shopping
FD investment via Cash (Paytm),17383,Investment
Udemy course via UPI (Kotak),11513,Education
SIP investment via Debit Card (ICICI),7557,Investment
Petrol pump via Debit Card (HDFC),19720,Travel
Clothing purchase via Credit Card (GPay),6651,Shopping
Pharmacy bill via UPI (HDFC),3569,Healthcare
Course fee via Credit Card (HDFC),18239,Education
Crypto purchase via Cash (PhonePe),11151,Investment
Ola cab via Debit Card (ICICI),6757,Travel
Clothing purchase via UPI (PhonePe),15916,Shopping
Zomato food delivery via UPI (Paytm),2458,Food
Metro ticket via Cash (Kotak),5703,Travel
Game purchase via Net Banking (Axis Bank),3100,Entertainment
Internet recharge via Debit Card (SBI),14843,Bills
Game purchase via Net Banking (ICICI),11216,Entertainment
College fee via UPI (GPay),4089,Education
Crypto purchase via Cash (Axis Bank),4285,Investment
IMPS transfer via UPI (SBI),1562,Transfer
Uber ride via Debit Card (Paytm),2615,Travel
Local market purchase via Debit Card (ICICI),18327,Shopping
PPF deposit via Debit Card (HDFC),16212,Investment
Myntra order via Cash (GPay),19764,Shopping
Diesel refill via Credit Card (Paytm),11816,Travel
Bakery purchase via Credit Card (Paytm),18745,Food
Rapido ride via Net Banking (GPay),425,Travel
Grocery shopping via Debit Card (ICICI),12565,Food
DTH recharge via Debit Card (GPay),7329,Bills
Diesel refill via Cash (SBI),15734,Travel
Concert ticket via UPI (Axis Bank),19307,Entertainment
NEFT transfer via Credit Card (Axis Bank),11620,Transfer
Spotify subscription via Credit Card (GPay),6467,Entertainment
Pharmacy bill via Credit Card (SBI),1736,Healthcare
Crypto purchase via UPI (Axis Bank),8772,Investment
Amazon shopping via Net Banking (Axis Bank),18892,Shopping
Medical store purchase via Cash (HDFC),4583,Healthcare
